6 boxes - Elevate.jpeg,SIX BOXES,12 X 14 framed
8 Boxes.jpeg,EIGHT SQUARES,10 X 20 framed
9 Green Circles.jpeg,NINE GREEN CIRCLES,12 X 12 framed
9 squares - Jesse.jpeg,9 SQUARES,14 X 14 framed
Adena - wool fans.jpeg,WOOL FANS,8 X 10 framed
Bev Cooper.jpeg,BEV COOPER - Field experiment,12 X 14
Buchi - Stary Night.jpeg,BUCHI - STARY NIGHT,12 X 12
,CIRCLES - WARM AND COOL,14 X14
Colorful Circles - McEver.jpeg,COLORFUL CIRCLES,10 X12
Crystal Young.jpeg,CIRCLES WITH FLAMINGO,10 X 12
Dreams - Lindquish.jpeg,DREAMING,12 X 14
Dreamtime.jpeg,DREAMTIME,12 X 14
IMG_2285.jpeg,DREAM,12 X 26
Gailey - Aboriginal design.jpeg,ABORIGINAL DESIGN,12 X 14
Ellen Joyce.jpeg,ELLEN JOYCE,10 X 12
Gailey - Tightcircle.jpeg,TIGHT CIRCLE -,10 X 10
Gold-black and red lines.jpeg,GOLD BLACK AND RED,10 X 12
IMG_1007 Lucinda Kindred.jpeg,GOLDEN WAVES,18 X 25 framed
IMG_2453.jpeg,GREEN SQUARES,14 X 14
Orange squares 2.jpeg,ORANGE SQUARES,12 X 12
Green with Red accent-Landreth.jpeg,GREEN WITH RED ACCENT,12 X 12
Heidi Redd.jpeg,HEIDI REDD,14 X 15
,pastel garden,8 X 10
Laurel Ingham.jpeg,RED. ORANGE & WHITE,8 X 10
Laddres.jpeg,LADDERS,10 X 14
Landscape 2.jpeg,LANDSCAPE,10 X 12 framed
Lesser.jpeg,GREEN CROSS,12 X 12
Mark .jpeg,ABSTRACT WITH DOTS,12 X 12
mark.jpeg,FLORAL,12 X 12
Marsha Gilford.jpeg,EMBRACE,10 X 10
Mary Ann Wright.jpeg,COLOR PALETTE,12 X 12
McEver embrooidery.jpeg,OLD EMBROIDERY,8 X 10
McGrann.jpeg,DIAMOND,8 X 10
Nicole.jpeg,LINES AND PYRAMIDS,12 X 12
Original.jpeg,ORIGINAL,14 X 18 Framed
Osborn - waves.jpeg,WAVES,14 X 16
,SIX ORBS,11 X 14
Paige Peterson.jpeg,DOUBLE IMAGE,8 X 10
Pillow 1b.jpeg,PILLOW,
Pete Pringle.jpeg,BLUE AND GREY FANS,12 X 12
Pringle double image.jpeg,DOUBLE IMAGE,12 X 16
Purple and Red Lines.jpeg,RED AND PURPLE LINES,8 X 8
Red & Black -Cooper.jpeg,RED & BLACK - LA PAZ,10 X10
Red & Gold Waves - Hunter.jpeg,RED & GOLD,20 X 24 framed
Red and Black.jpeg,RED & BLACK,8 X 12
Red-Yellow-Blue.jpeg,RED WHITE & BLUE,8 X 8
Shadow - Cooper.jpeg,SHADOW,8 X 10
,SILVER WAVES,8X 10
Skiwampups 2.jpeg,skiwampus,12 X 12
IMG_1983.jpeg,SUNBURST,12 X 16
,TAPISTRY,12 X 14
,TAPISTRY 2,12 X 14
,TAPISTRY 3,12 X 14
,TAPISTRY 4,12 X 14
,TAPISTRY ON RED -,12 X 14
Theobald.jpeg,ABSTRACT ABORIGINAL,8 X 10
Vasilios.jpeg,FOUR SQUARE,12 X 12
Waves & orrbss - ingham.jpeg,WAVES AND ORBS,10 X 10
Waves& arcs.jpeg,WAVES AND ARCS -,10 X 10
White Waves.jpeg,WHITE  WAVES,14 X 18
,MIRROR IMAGES,12 X12
,COMING TOGETHER,
Dreams 2a.jpeg,DREAMTIME -,12 X 14
,2	DREAMTIME - 4 VERSIONS,18 X24
,MULTI COLORED FABRICS -,10 X 12
Quilt patterns - Jesse.jpeg,ART QUILT,18 X 24
Dreams 3.jpeg,DREAMTIME VERSION 3,10 X 12
,MOVING LINES,14 X 20
Red & Purple wth daimonds.jpeg,RED AND PPURPLE DIAMONDS,8 X 8
